Transaction Date,Post Date,Description,Category,Type,Amount,Balance
03/01/2025,03/01/2025,DIRECT DEPOSIT - EMPLOYER,Income,ACH Credit,4800.00,12450.00
03/03/2025,03/03/2025,RENT PAYMENT - ZELLE,Housing,ACH Debit,-1850.00,10600.00
03/04/2025,03/04/2025,WHOLE FOODS MARKET,Groceries,Debit Sale,-127.43,10472.57
03/05/2025,03/05/2025,SPOTIFY PREMIUM,Subscriptions,ACH Debit,-9.99,10462.58
03/07/2025,03/07/2025,SHELL GAS STATION,Gas,Debit Sale,-62.14,10400.44
03/10,03/10,CHIPOTLE MEXICAN GRILL,Restaurants,Debit Sale,-18.75,10381.69
03/12,03/12,AMAZON.COM,Shopping,Debit Sale,-89.99,10291.70
03/14,03/14,NETFLIX,Subscriptions,ACH Debit,-15.49,10276.21
03/15,03/15,TRANSFER TO SAVINGS,Transfer,ACH Debit,-500.00,9776.21
03/20,03/20,COSTCO WHOLESALE,Groceries,Debit Sale,-214.87,9561.34
03/22,03/22,ATM WITHDRAWAL,Cash,ATM,-200.00,9361.34
03/28,03/28,ELECTRIC BILL - CON ED,Utilities,ACH Debit,-118.32,9243.02
04/01/2025,04/01/2025,DIRECT DEPOSIT - EMPLOYER,Income,ACH Credit,4800.00,14043.02
04/03/2025,04/03/2025,RENT PAYMENT - ZELLE,Housing,ACH Debit,-1850.00,12193.02
04/05/2025,04/05/2025,WHOLE FOODS MARKET,Groceries,Debit Sale,-143.22,12049.80
04/08/2025,04/08/2025,SHELL GAS STATION,Gas,Debit Sale,-58.90,11990.90
04/10/2025,04/10/2025,OPENAI SUBSCRIPTION,Subscriptions,ACH Debit,-20.00,11970.90
04/15/2025,04/15/2025,TRANSFER TO SAVINGS,Transfer,ACH Debit,-500.00,11470.90
