Transaction Date,Post Date,Description,Category,Type,Amount,Balance
02/01/2025,02/02/2025,PAYMENT THANK YOU,Payment,Payment,1200.00,2940.12
02/05/2025,02/06/2025,DELTA AIR LINES,Travel,Sale,-489.00,3429.12
02/08/2025,02/09/2025,WHOLE FOODS MARKET,Groceries,Sale,-87.43,3516.55
02/10/2025,02/11/2025,NETFLIX,Subscriptions,Sale,-15.49,3532.04
02/14/2025,02/15/2025,RESTAURANT - NOBU,Dining,Sale,-210.00,3742.04
02/18/2025,02/19/2025,AMAZON.COM,Shopping,Sale,-134.95,3877.00
02/22/2025,02/23/2025,SHELL GAS STATION,Gas,Sale,-72.14,3949.14
02/25/2025,02/26/2025,SPOTIFY,Subscriptions,Sale,-9.99,3959.13
03/01/2025,03/02/2025,PAYMENT THANK YOU,Payment,Payment,1000.00,2959.13
03/03/2025,03/04/2025,APPLE STORE,Shopping,Sale,-999.00,3958.13
03/07/2025,03/08/2025,WHOLE FOODS MARKET,Groceries,Sale,-112.88,4070.01 --
03/12/2025,03/13/2025,UNITED AIRLINES,Travel,Sale,-320.00,4390.01
03/15/2025,03/16/2025,NETFLIX,Subscriptions,Sale,-15.49,4405.50
03/18/2025,03/19/2025,RESTAURANT - STK,Dining,Sale,-185.00,4590.50
03/22/2025,03/23/2025,AMAZON.COM,Shopping,Sale,-67.22,4657.72
03/28/2025,03/29/2025,SHELL GAS STATION,Gas,Sale,-58.90,4716.62
04/01/2025,04/02/2025,PAYMENT THANK YOU,Payment,Payment,1500.00,3216.62
04/05/2025,04/06/2025,WHOLE FOODS MARKET,Groceries,Sale,-98.41,3315.03
04/08/2025,04/09/2025,DELTA AIR LINES,Travel,Sale,-375.00,3690.03
04/10/2025,04/11/2025,SPOTIFY,Subscriptions,Sale,-9.99,3700.02
