Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2023-01-09T14:22:00Z,Buy,BTC,0.05,USD,17208.40,860.42,886.23,25.81,Recurring buy
2023-03-15T10:05:00Z,Buy,ETH,0.5,USD,1821.30,910.65,937.97,27.32,Recurring buy
2023-06-01T09:14:00Z,Buy,BTC,0.05,USD,27219.80,1360.99,1401.82,40.83,Recurring buy
2023-09-12T11:30:00Z,Buy,ETH,1.0,USD,1636.22,1636.22,1685.31,49.09,Recurring buy
2023-12-01T08:55:00Z,Buy,BTC,0.03,USD,38541.20,1156.24,1191.93,35.69,Recurring buy
2024-01-15T13:20:00Z,Buy,ETH,0.75,USD,2572.14,1929.11,1986.98,57.87,Recurring buy
2024-03-14T16:45:00Z,Buy,BTC,0.025,USD,72831.50,1820.79,1875.41,54.62,ETF launch dip
2024-06-10T10:00:00Z,Buy,SOL,10,USD,164.42,1644.20,1693.53,49.33,New position
2024-09-20T14:15:00Z,Buy,ETH,0.5,USD,2418.33,1209.17,1245.44,36.27,Recurring buy
2024-11-08T09:30:00Z,Buy,BTC,0.02,USD,76243.10,1524.86,1570.61,45.75,Post-election rally
2025-01-20T11:00:00Z,Buy,BTC,0.01,USD,101432.00,1014.32,1044.75,30.43,ATH buy
2025-02-10T15:30:00Z,Sell,SOL,5,USD,193.22,966.10,939.82,-26.28,Partial profit take
