Date,Action,Symbol,Description,Quantity,Price,Amount
2024-01-08,Buy,AAPL,Apple Inc,25,185.92,-4648.00
2024-01-08,Buy,MSFT,Microsoft Corp,10,374.51,-3745.10
2024-01-08,Buy,SPY,SPDR S&P 500 ETF,15,476.22,-7143.30
2024-02-14,Buy,GOOGL,Alphabet Inc Class A,8,140.93,-1127.44
2024-02-14,Buy,NVDA,NVIDIA Corp,12,613.52,-7362.24
2024-03-20,Buy,VTI,Vanguard Total Stock Market ETF,20,238.47,-4769.40
2024-04-10,Buy,AMZN,Amazon.com Inc,5,183.75,-918.75
2024-05-15,Buy,SPY,SPDR S&P 500 ETF,8,527.80,-4222.40
2024-06-03,Buy,AAPL,Apple Inc,10,194.03,-1940.30
2024-07-01,Buy,MSFT,Microsoft Corp,5,446.33,-2231.65
2024-08-19,Buy,QQQ,Invesco QQQ Trust,10,468.25,-4682.50
2024-09-16,Buy,VTI,Vanguard Total Stock Market ETF,15,261.40,-3921.00
2024-10-07,Buy,GOOGL,Alphabet Inc Class A,12,165.28,-1983.36
2024-11-25,Buy,SPY,SPDR S&P 500 ETF,5,592.44,-2962.20
2024-12-02,Buy,NVDA,NVIDIA Corp,8,138.85,-1110.80
2025-01-10,Buy,AAPL,Apple Inc,8,229.04,-1832.32
2025-02-03,Buy,BRK.B,Berkshire Hathaway Class B,5,476.14,-2380.70
2025-03-12,Sell,AMZN,Amazon.com Inc,5,196.80,984.00
2025-03-12,Buy,META,Meta Platforms Inc,4,598.50,-2394.00
