Date,Action,Symbol,Description,Quantity,Price,Amount
2022-04-01,Buy,VTI,Vanguard Total Stock Market ETF,30,210.44,-6313.20
2022-04-01,Buy,FXAIX,Fidelity 500 Index Fund,20,155.32,-3106.40
2023-01-03,Buy,VTI,Vanguard Total Stock Market ETF,15,197.83,-2967.45
2023-04-04,Buy,FXAIX,Fidelity 500 Index Fund,10,163.85,-1638.50
2023-07-03,Buy,VTI,Vanguard Total Stock Market ETF,10,218.95,-2189.50
2024-01-02,Buy,VTI,Vanguard Total Stock Market ETF,12,238.92,-2867.04
2024-04-01,Buy,FXAIX,Fidelity 500 Index Fund,8,190.41,-1523.28
2024-07-01,Buy,VTI,Vanguard Total Stock Market ETF,8,264.19,-2113.52
2025-01-02,Buy,VTI,Vanguard Total Stock Market ETF,10,288.13,-2881.30
2025-01-02,Buy,FXAIX,Fidelity 500 Index Fund,8,205.74,-1645.92
