Payment Date,Description,Payment Amount,Principal,Interest,Balance
2024-01-10,Monthly Payment,-412.00,-248.72,-163.28,32840.15
2024-02-10,Monthly Payment,-412.00,-250.35,-161.65,32589.80
2024-03-10,Monthly Payment,-412.00,-251.99,-160.01,32337.81
2024-04-10,Monthly Payment,-412.00,-253.64,-158.36,32084.17
2024-05-10,Monthly Payment,-412.00,-255.30,-156.70,31828.87
2024-06-10,Monthly Payment,-412.00,-256.97,-155.03,31571.90
2024-07-10,Monthly Payment,-412.00,-258.65,-153.35,31313.25
2024-08-10,Monthly Payment,-412.00,-260.34,-151.66,31052.91
2024-09-10,Monthly Payment,-412.00,-262.04,-149.96,30790.87
2024-10-10,Monthly Payment,-412.00,-263.75,-148.25,30527.12
2024-11-10,Monthly Payment,-412.00,-265.47,-146.53,30261.65
2024-12-10,Monthly Payment,-412.00,-267.21,-144.79,29994.44
2025-01-10,Monthly Payment,-412.00,-268.95,-143.05,29725.49
2025-02-10,Monthly Payment,-412.00,-270.71,-141.29,29454.78
2025-03-10,Monthly Payment,-412.00,-272.48,-139.52,29182.30
2025-04-01,Monthly Payment,-412.00,-274.26,-137.74,28908.04
