Payment Date,Description,Payment Amount,Principal,Interest,Balance
2023-08-01,Monthly Payment,-398.00,-301.42,-96.58,18392.18
2023-09-01,Monthly Payment,-398.00,-302.84,-95.16,18089.34
2023-10-01,Monthly Payment,-398.00,-304.27,-93.73,17785.07
2023-11-01,Monthly Payment,-398.00,-305.71,-92.29,17479.36
2023-12-01,Monthly Payment,-398.00,-307.16,-90.84,17172.20
2024-01-01,Monthly Payment,-398.00,-308.62,-89.38,16863.58
2024-02-01,Monthly Payment,-398.00,-310.08,-87.92,16553.50
2024-03-01,Monthly Payment,-398.00,-311.56,-86.44,16241.94
2024-04-01,Monthly Payment,-398.00,-313.04,-84.96,15928.90
2024-05-01,Monthly Payment,-398.00,-314.53,-83.47,15614.37
2024-06-01,Monthly Payment,-398.00,-316.03,-81.97,15298.34
2024-07-01,Monthly Payment,-398.00,-317.54,-80.46,14980.80
2024-08-01,Monthly Payment,-398.00,-319.06,-78.94,14661.74
2024-09-01,Monthly Payment,-398.00,-320.59,-77.41,14341.15
2024-10-01,Monthly Payment,-398.00,-322.13,-75.87,14019.02
2024-11-01,Monthly Payment,-398.00,-323.68,-74.32,13695.34
2024-12-01,Monthly Payment,-398.00,-325.23,-72.77,13370.11
2025-01-01,Monthly Payment,-398.00,-326.80,-71.20,13043.31
2025-02-01,Monthly Payment,-398.00,-328.38,-69.62,12714.93
2025-03-01,Monthly Payment,-398.00,-329.97,-68.03,12384.96
2025-04-01,Monthly Payment,-398.00,-331.57,-66.43,12053.39
