Date,Transaction Type,Investment,Shares,Share Price,Amount
2023-01-15,Buy,VTI,10,205.14,-2051.40
2023-02-15,Buy,VTI,10,208.72,-2087.20
2023-03-15,Buy,VXUS,15,57.83,-867.45
2023-04-15,Buy,VTI,10,218.95,-2189.50
2023-05-15,Buy,VXUS,15,58.41,-876.15
2023-06-15,Buy,BND,20,71.24,-1424.80
2023-07-15,Buy,VTI,10,228.39,-2283.90
2023-08-15,Buy,VTI,10,219.43,-2194.30
2023-09-15,Buy,VXUS,15,54.92,-823.80
2023-10-15,Buy,BND,20,68.14,-1362.80
2023-11-15,Buy,VTI,10,233.41,-2334.10
2023-12-15,Buy,VTI,10,241.88,-2418.80
2024-01-15,Buy,VTI,10,238.92,-2389.20
2024-02-15,Buy,VXUS,20,58.72,-1174.40
2024-03-15,Buy,VTI,10,250.14,-2501.40
2024-04-15,Buy,BND,25,72.31,-1807.75
2024-05-15,Buy,VTI,10,257.83,-2578.30
2024-06-15,Buy,VTI,10,264.19,-2641.90
2024-07-15,Buy,VXUS,20,61.48,-1229.60
2024-08-15,Buy,VTI,10,270.42,-2704.20
2024-09-15,Buy,VTI,10,271.88,-2718.80
2024-10-15,Buy,BND,25,73.14,-1828.50
2024-11-15,Buy,VTI,10,284.92,-2849.20
2024-12-15,Buy,VTI,10,292.44,-2924.40
2025-01-15,Buy,VTI,10,288.13,-2881.30
2025-02-15,Buy,VXUS,20,63.52,-1270.40
2025-03-15,Buy,VTI,10,252.18,-2521.80
